源文件,信号时间,编号,联赛,比赛时间,主队,主队比分,客队比分,客队,皇冠主赔,盘口,皇冠客赔,赔率时间,信号,HDP,赛果,投注比例,下注资金,盈亏,余额,存证文件URL,SHA256,解压密码,赔率页面URL,赛果页面URL
2026-04-17_23.csv,2026-04-17 23:49:23,2808015,西乙,2026-04-18 02:30:00,皇家蘇斯達B隊,1,3,桑坦德,0.84,受让半球,1.05,4-17 23:15,主,-0.5,输,3.0%,300.0,-300.0,9700.0,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-17_23.zip,86e3e8937f013b06a23e65fb9b2ff18ff19f471a774a1c3b9755da266f8535a9,c7189f0620fc1ae98c6971909aa1b014,https://vip.titan007.com/changeDetail/handicap.aspx?id=2808015&companyID=3&l=1,https://live.titan007.com/detail/2808015.htm
2026-04-17_23.csv,2026-04-17 23:49:23,2914308,愛超,2026-04-18 02:45:00,舒爾本,1,2,德利城,0.94,半球,0.95,4-17 23:47,客,0.5,赢,3.0%,291.0,276.45,9976.45,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-17_23.zip,86e3e8937f013b06a23e65fb9b2ff18ff19f471a774a1c3b9755da266f8535a9,c7189f0620fc1ae98c6971909aa1b014,https://vip.titan007.com/changeDetail/handicap.aspx?id=2914308&companyID=3&l=1,https://live.titan007.com/detail/2914308.htm
2026-04-17_23.csv,2026-04-17 23:49:23,2808014,西乙,2026-04-18 03:00:00,拉斯彭馬斯,2,0,雷加利斯,0.89,半球/一球,1.00,4-17 23:34,主,0.75,赢,3.0%,299.29,266.37,10242.82,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-17_23.zip,86e3e8937f013b06a23e65fb9b2ff18ff19f471a774a1c3b9755da266f8535a9,c7189f0620fc1ae98c6971909aa1b014,https://vip.titan007.com/changeDetail/handicap.aspx?id=2808014&companyID=3&l=1,https://live.titan007.com/detail/2808014.htm
