源文件,信号时间,编号,联赛,比赛时间,主队,主队比分,客队比分,客队,皇冠主赔,盘口,皇冠客赔,赔率时间,信号,HDP,赛果,投注比例,下注资金,盈亏,余额,存证文件URL,SHA256,解压密码,赔率页面URL,赛果页面URL
2026-04-16_23.csv,2026-04-17 10:14:43,2963356,歐霸盃,2026-04-17 00:45:00,切爾達,1,3,費雷堡,6.66,平手/半球,0.04,4-17 02:33,主,0.25,输,3.0%,300.0,-300.0,9700.0,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-16_23.zip,c641a3fb26e606f0ae600ccea19c33990770a7599519aa445f0867e461bb1b29,54ee656c271971c300377bead89d732d,https://vip.titan007.com/changeDetail/handicap.aspx?id=2963356&companyID=3&l=1,https://live.titan007.com/detail/2963356.htm
2026-04-16_23.csv,2026-04-17 10:14:43,2963357,歐霸盃,2026-04-17 03:00:00,諾定咸森林,1,0,波圖,4.76,平手/半球,0.10,4-17 04:55,主,0.25,赢,3.0%,291.0,1385.16,11085.16,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-16_23.zip,c641a3fb26e606f0ae600ccea19c33990770a7599519aa445f0867e461bb1b29,54ee656c271971c300377bead89d732d,https://vip.titan007.com/changeDetail/handicap.aspx?id=2963357&companyID=3&l=1,https://live.titan007.com/detail/2963357.htm
2026-04-16_23.csv,2026-04-17 10:14:43,2963367,歐會盃,2026-04-17 03:00:00,AEK雅典,3,1,華歷簡奴,7.14,平手/半球,0.02,4-17 04:54,主,0.25,赢,3.0%,332.55,2374.41,13459.57,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-16_23.zip,c641a3fb26e606f0ae600ccea19c33990770a7599519aa445f0867e461bb1b29,54ee656c271971c300377bead89d732d,https://vip.titan007.com/changeDetail/handicap.aspx?id=2963367&companyID=3&l=1,https://live.titan007.com/detail/2963367.htm
2026-04-16_23.csv,2026-04-17 10:14:43,2963358,歐霸盃,2026-04-17 03:00:00,貝迪斯,2,4,布拉加,7.69,平手/半球,0.02,4-17 04:58,客,0.25,赢,3.0%,403.79,8.08,13467.65,https://github.com/NegentropyLab/csv2026/blob/main/csv/2026-04-16_23.zip,c641a3fb26e606f0ae600ccea19c33990770a7599519aa445f0867e461bb1b29,54ee656c271971c300377bead89d732d,https://vip.titan007.com/changeDetail/handicap.aspx?id=2963358&companyID=3&l=1,https://live.titan007.com/detail/2963358.htm
